id,severity,title,description,iacontrols,ruleID,fixid,fixtext,checkid,checktext
V-38612,medium,The SSH daemon must not allow host-based authentication.,SSH trust relationships mean a compromise on one host can allow an attacker to move trivially to other hosts.,None,SV-50413r1_rule,F-43560r1_fix,"SSH's cryptographic host-based authentication is more secure than "".rhosts"" authentication, since hosts are cryptographically authenticated. However, it is not recommended that hosts unilaterally trust one another, even within an organization. 

To disable host-based authentication, add or correct the following line in ""/etc/ssh/sshd_config"": 

HostbasedAuthentication no",C-46170r1_chk,"To determine how the SSH daemon's ""HostbasedAuthentication"" option is set, run the following command: 

# grep -i HostbasedAuthentication /etc/ssh/sshd_config

If no line, a commented line, or a line indicating the value ""no"" is returned, then the required value is set. 
If the required value is not set, this is a finding."
V-38580,medium,The audit system must be configured to audit the loading and unloading of dynamic kernel modules.,The addition/removal of kernel modules can be used to alter the behavior of the kernel and potentially introduce malicious code into kernel space. It is important to have an audit trail of modules that have been introduced into the kernel.,None,SV-50381r2_rule,F-43528r2_fix,"Add the following to ""/etc/audit/audit.rules"" in order to capture kernel module loading and unloading events, setting ARCH to either b32 or b64 as appropriate for your system: 

-w /sbin/insmod -p x -k modules
-w /sbin/rmmod -p x -k modules
-w /sbin/modprobe -p x -k modules
-a always,exit -F arch=[ARCH] -S init_module -S delete_module -k modules",C-46138r3_chk,"To determine if the system is configured to audit execution of module management programs, run the following commands:

$ sudo egrep -e ""(-w |-F path=)/sbin/insmod"" /etc/audit/audit.rules
$ sudo egrep -e ""(-w |-F path=)/sbin/rmmod"" /etc/audit/audit.rules
$ sudo egrep -e ""(-w |-F path=)/sbin/modprobe"" /etc/audit/audit.rules

If the system is configured to audit this activity, it will return a line.

To determine if the system is configured to audit calls to the ""init_module"" system call, run the following command:

$ sudo grep -w ""init_module"" /etc/audit/audit.rules

If the system is configured to audit this activity, it will return a line. 

To determine if the system is configured to audit calls to the ""delete_module"" system call, run the following command:

$ sudo grep -w ""delete_module"" /etc/audit/audit.rules

If the system is configured to audit this activity, it will return a line. 

If no line is returned for any of these commands, this is a finding. "
V-38459,medium,The /etc/group file must be group-owned by root.,"The ""/etc/group"" file contains information regarding groups that are configured on the system. Protection of this file is important for system security.",None,SV-50259r1_rule,F-43404r1_fix,"To properly set the group owner of ""/etc/group"", run the command: 

# chgrp root /etc/group",C-46014r1_chk,"To check the group ownership of ""/etc/group"", run the command: 

$ ls -l /etc/group

If properly configured, the output should indicate the following group-owner. ""root"" 
If it does not, this is a finding."
V-38649,low,The system default umask for the csh shell must be 077.,The umask value influences the permissions assigned to files when they are created. A misconfigured umask value could result in files with excessive permissions that can be read and/or written to by unauthorized users.,None,SV-50450r1_rule,F-43598r1_fix,"To ensure the default umask for users of the C shell is set properly, add or correct the ""umask"" setting in ""/etc/csh.cshrc"" to read as follows: 

umask 077",C-46209r1_chk,"Verify the ""umask"" setting is configured correctly in the ""/etc/csh.cshrc"" file by running the following command: 

# grep ""umask"" /etc/csh.cshrc

All output must show the value of ""umask"" set to 077, as shown in the below: 

# grep ""umask"" /etc/csh.cshrc
umask 077


If the above command returns no output, or if the umask is configured incorrectly, this is a finding."
V-38648,low,The qpidd service must not be running.,"The qpidd service is automatically installed when the ""base"" package selection is selected during installation. The qpidd service listens for network connections which increases the attack surface of the system. If the system is not intended to receive AMQP traffic then the ""qpidd"" service is not needed and should be disabled or removed.",None,SV-50449r2_rule,F-43597r2_fix,"The ""qpidd"" service provides high speed, secure, guaranteed delivery services. It is an implementation of the Advanced Message Queuing Protocol. By default the qpidd service will bind to port 5672 and listen for connection attempts. The ""qpidd"" service can be disabled with the following commands: 

# chkconfig qpidd off
# service qpidd stop",C-46208r2_chk,"To check that the ""qpidd"" service is disabled in system boot configuration, run the following command: 

# chkconfig ""qpidd"" --list

Output should indicate the ""qpidd"" service has either not been installed, or has been disabled at all runlevels, as shown in the example below: 

# chkconfig ""qpidd"" --list
""qpidd"" 0:off 1:off 2:off 3:off 4:off 5:off 6:off

Run the following command to verify ""qpidd"" is disabled through current runtime configuration: 

# service qpidd status

If the service is disabled the command will return the following output: 

qpidd is stopped


If the service is running, this is a finding."
V-38643,medium,There must be no world-writable files on the system.,"Data in world-writable files can be modified by any user on the system. In almost all circumstances, files can be configured using a combination of user and group permissions to support whatever legitimate access is needed without the risk caused by world-writable files.",None,SV-50444r3_rule,F-43591r1_fix,"It is generally a good idea to remove global (other) write access to a file when it is discovered. However, check with documentation for specific applications before making changes. Also, monitor for recurring world-writable files, as these may be symptoms of a misconfigured application or user account.",C-46202r3_chk,"To find world-writable files, run the following command for each local partition [PART], excluding special filesystems such as /selinux, /proc, or /sys: 

# find [PART] -xdev -type f -perm -002

If there is output, this is a finding."
V-38642,low,The system default umask for daemons must be 027 or 022.,The umask influences the permissions assigned to files created by a process at run time. An unnecessarily permissive umask could result in files being created with insecure permissions.,None,SV-50443r1_rule,F-43592r1_fix,"The file ""/etc/init.d/functions"" includes initialization parameters for most or all daemons started at boot time. The default umask of 022 prevents creation of group- or world-writable files. To set the default umask for daemons, edit the following line, inserting 022 or 027 for [UMASK] appropriately: 

umask [UMASK]

Setting the umask to too restrictive a setting can cause serious errors at runtime. Many daemons on the system already individually restrict themselves to a umask of 077 in their own init scripts.",C-46203r1_chk,"To check the value of the ""umask"", run the following command: 

$ grep umask /etc/init.d/functions

The output should show either ""022"" or ""027"". 
If it does not, this is a finding."
V-38641,low,The atd service must be disabled.,"The ""atd"" service could be used by an unsophisticated insider to carry out activities outside of a normal login session, which could complicate accountability. Furthermore, the need to schedule tasks with ""at"" or ""batch"" is not common.",None,SV-50442r2_rule,F-43590r2_fix,"The ""at"" and ""batch"" commands can be used to schedule tasks that are meant to be executed only once. This allows delayed execution in a manner similar to cron, except that it is not recurring. The daemon ""atd"" keeps track of tasks scheduled via ""at"" and ""batch"", and executes them at the specified time. The ""atd"" service can be disabled with the following commands: 

# chkconfig atd off
# service atd stop",C-46201r2_chk,"If the system uses the ""atd"" service, this is not applicable.

To check that the ""atd"" service is disabled in system boot configuration, run the following command: 

# chkconfig ""atd"" --list

Output should indicate the ""atd"" service has either not been installed, or has been disabled at all runlevels, as shown in the example below: 

# chkconfig ""atd"" --list
""atd"" 0:off 1:off 2:off 3:off 4:off 5:off 6:off

Run the following command to verify ""atd"" is disabled through current runtime configuration: 

# service atd status

If the service is disabled the command will return the following output: 

atd is stopped


If the service is running, this is a finding."
V-38640,low,The Automatic Bug Reporting Tool (abrtd) service must not be running.,"Mishandling crash data could expose sensitive information about vulnerabilities in software executing on the local machine, as well as sensitive information from within a process's address space or registers.",None,SV-50441r2_rule,F-43589r2_fix,"The Automatic Bug Reporting Tool (""abrtd"") daemon collects and reports crash data when an application crash is detected. Using a variety of plugins, abrtd can email crash reports to system administrators, log crash reports to files, or forward crash reports to a centralized issue tracking system such as RHTSupport. The ""abrtd"" service can be disabled with the following commands: 

# chkconfig abrtd off
# service abrtd stop",C-46200r1_chk,"To check that the ""abrtd"" service is disabled in system boot configuration, run the following command: 

# chkconfig ""abrtd"" --list

Output should indicate the ""abrtd"" service has either not been installed, or has been disabled at all runlevels, as shown in the example below: 

# chkconfig ""abrtd"" --list
""abrtd"" 0:off 1:off 2:off 3:off 4:off 5:off 6:off

Run the following command to verify ""abrtd"" is disabled through current runtime configuration: 

# service abrtd status

If the service is disabled the command will return the following output: 

abrtd is stopped


If the service is running, this is a finding."
V-38647,low,The system default umask in /etc/profile must be 077.,The umask value influences the permissions assigned to files when they are created. A misconfigured umask value could result in files with excessive permissions that can be read and/or written to by unauthorized users.,None,SV-50448r1_rule,F-43596r1_fix,"To ensure the default umask controlled by ""/etc/profile"" is set properly, add or correct the ""umask"" setting in ""/etc/profile"" to read as follows: 

umask 077",C-46207r1_chk,"Verify the ""umask"" setting is configured correctly in the ""/etc/profile"" file by running the following command: 

# grep ""umask"" /etc/profile

All output must show the value of ""umask"" set to 077, as shown in the below: 

# grep ""umask"" /etc/profile
umask 077


If the above command returns no output, or if the umask is configured incorrectly, this is a finding."
